Time,"6"" Moisture","12"" Moisture","24"" Moisture"
2019-07-21T13:03:03.000-05:00,-13.46,-8.52,-13.26
2019-07-21T13:03:05.000-05:00,-13.46,-8.33,-13.26
2019-07-21T13:03:07.000-05:00,-13.46,-8.33,-13.26
2019-07-21T13:03:09.000-05:00,-13.46,-8.33,-13.26
2019-07-21T13:03:11.000-05:00,-13.46,-8.33,-13.26
2019-07-21T13:03:13.000-05:00,-13.51,-8.33,-13.26
2019-07-21T13:05:45.000-05:00,-13.46,-8.52,-13.21
2019-07-21T13:05:50.000-05:00,-13.46,-8.52,-13.21
2019-07-21T13:05:52.000-05:00,-13.46,-8.52,-13.26
2019-07-21T13:05:54.000-05:00,-13.46,-8.52,-13.21
2019-07-21T13:05:56.000-05:00,-13.46,-8.52,-13.21
2019-07-21T13:05:58.000-05:00,-13.46,-8.52,-13.26
2019-07-21T15:51:24.000-05:00,-13.45,-8.81,-12.75
2019-07-21T17:52:02.000-05:00,-12.93,-8.23,-12.44
2019-07-21T20:04:22.000-05:00,-12.83,-8.22,-12.02
2019-07-21T22:17:06.000-05:00,-12.59,-7.77,-11.56
2019-07-22T00:17:08.000-05:00,-12.43,-7.37,-11.25
2019-07-22T02:41:20.000-05:00,-12.45,-7.44,-11
2019-07-22T04:53:24.000-05:00,-12.36,-7.31,-9.62
2019-07-22T07:05:26.000-05:00,-12.38,-7.45,-9.05
2019-07-22T09:17:29.000-05:00,-12.59,-7.76,-9.02
2019-07-22T11:29:38.000-05:00,-12.92,-8.5,-8.87
2019-07-22T13:42:05.000-05:00,-13.36,-8.89,-9.08
2019-07-22T15:54:40.000-05:00,-13.52,-9.35,-8.6
2019-07-22T18:07:19.000-05:00,-13.39,-8.86,-8.12
2019-07-22T20:19:48.000-05:00,-12.74,-8.11,-7.22
2019-07-22T22:32:19.000-05:00,-12.48,-7.59,-6.89
2019-07-23T00:44:22.000-05:00,-12.47,-7.69,-6.63
2019-07-23T02:56:24.000-05:00,-12.44,-7.4,-6.36
2019-07-23T05:08:25.000-05:00,-12.25,-7.29,-5.92
2019-07-23T07:20:24.000-05:00,-12.14,-7.12,-5.6
2019-07-23T09:32:16.000-05:00,-12.3,-7.47,-5.58
2019-07-23T11:44:16.000-05:00,-12.56,-8.07,-5.64
2019-07-23T11:44:16.000-05:00,-12.56,-8.07,-5.64
2019-07-23T13:56:27.000-05:00,-12.85,-8.72,-5.89
2019-07-23T16:08:48.000-05:00,-13.07,-9.23,-5.52
2019-07-23T20:26:38.746-05:00,-13.19,-9.32,-5.3
2019-07-23T22:27:04.290-05:00,-13.46,-10.56,-4.81
2019-07-24T00:27:28.997-05:00,-13.95,-10.44,-4.4
2019-07-24T02:27:58.052-05:00,-14.27,-10.34,-4.18
2019-07-24T04:28:27.328-05:00,-14.61,-10.34,-3.82
2019-07-24T06:28:55.867-05:00,-14.88,-10.25,-3.6
2019-07-24T08:29:24.450-05:00,-15.42,-10.44,-3.72
2019-07-24T10:29:49.334-05:00,-16.24,-10.89,-4.17
2019-07-24T12:30:19.295-05:00,-17.42,-11.47,-4.39
2019-07-24T14:30:43.059-05:00,-18.98,-12.56,-5.08
2019-07-24T18:31:41.578-05:00,-20.2,-13.49,-4.86
2019-07-24T20:32:11.300-05:00,-21.15,-14.34,-4.34
2019-07-24T22:32:40.945-05:00,-21.56,-14.66,-4.17
2019-07-25T00:33:08.815-05:00,-21.57,-14.79,-3.7
2019-07-25T02:33:35.441-05:00,-21.6,-14.87,-3.51
2019-07-25T04:34:02.897-05:00,-21.66,-14.93,-3.65
2019-07-25T06:34:33.125-05:00,-21.83,-15.01,-3.5
2019-07-25T08:34:59.173-05:00,-22.19,-15.31,-3.6
2019-07-25T10:35:29.006-05:00,-23.31,-16.19,-4.17
2019-07-25T12:35:58.269-05:00,-24.5,-17.37,-4.84
2019-07-25T14:36:24.828-05:00,-25.23,-18.01,-5.25
2019-07-25T16:36:53.071-05:00,-26.23,-18.99,-5.37
2019-07-25T18:37:20.956-05:00,-27.06,-19.67,-5.15
2019-07-25T20:37:48.970-05:00,-27.52,-19.94,-4.89
2019-07-25T22:38:18.350-05:00,-27.49,-19.73,-5
2019-07-26T00:23:46.793-05:00,-27.49,-19.73,-5
2019-07-26T00:23:47.546-05:00,-27.67,-19.66,-4.77
2019-07-26T02:39:13.549-05:00,-27.57,-19.52,-4.7
2019-07-26T06:40:08.645-05:00,-27.51,-19.42,-4.65
2019-07-26T08:40:38.006-05:00,-27.66,-19.39,-4.57
2019-07-26T10:41:07.306-05:00,-28.84,-20.06,-5.26
2019-07-26T12:41:02.292-05:00,-30.01,-21.29,-6.03
2019-07-26T12:41:03.502-05:00,-30.87,-22.11,-6.49
2019-07-26T12:41:03.505-05:00,-30.92,-22.15,-6.51
2019-07-26T13:36:02.966-05:00,-31.23,-22.44,-6.62
2019-07-26T13:36:03.412-05:00,-31.54,-22.82,-6.72
2019-07-26T13:36:03.413-05:00,-31.54,-22.82,-6.9
2019-07-26T13:36:03.414-05:00,-31.54,-22.82,-6.72
2019-07-26T13:36:03.876-05:00,-31.54,-22.82,-6.72
2019-07-26T13:36:04.166-05:00,-31.54,-22.82,-6.9
2019-07-26T13:42:18.260-05:00,-31.59,-22.85,-6.75
2019-07-26T13:42:18.745-05:00,-31.54,-22.82,-6.72
2019-07-26T13:42:18.749-05:00,-31.59,-22.85,-6.75
2019-07-26T13:42:19.287-05:00,-31.54,-22.82,-6.72
2019-07-26T13:42:19.291-05:00,-31.54,-22.82,-6.72
2019-07-26T13:42:19.295-05:00,-31.59,-22.85,-6.75
2019-07-26T13:43:59.268-05:00,-31.59,-22.93,-6.92
2019-07-26T13:43:59.714-05:00,-31.59,-22.93,-6.75
2019-07-26T13:43:59.716-05:00,-31.76,-22.97,-6.95
2019-07-26T13:44:00.192-05:00,-31.59,-22.93,-6.92
2019-07-26T13:44:00.194-05:00,-31.59,-22.93,-6.92
2019-07-26T13:44:00.488-05:00,-31.7,-22.93,-6.92
2019-07-26T13:54:03.722-05:00,-31.64,-22.89,-6.95
2019-07-26T13:54:04.205-05:00,-31.76,-22.89,-6.95
2019-07-26T13:54:04.208-05:00,-31.64,-22.97,-6.95
2019-07-26T13:54:04.749-05:00,-31.76,-22.97,-6.95
2019-07-26T13:54:04.751-05:00,-31.64,-22.89,-6.95
2019-07-26T13:54:04.754-05:00,-31.76,-22.97,-6.95
2019-07-26T13:57:26.778-05:00,-31.81,-23.01,-6.97
2019-07-26T13:57:27.181-05:00,-31.81,-23.01,-6.97
2019-07-26T13:57:27.639-05:00,-31.81,-23.01,-6.97
2019-07-26T13:57:27.646-05:00,-31.81,-23.01,-6.97
2019-07-26T13:57:27.648-05:00,-31.81,-23.01,-6.97
2019-07-26T13:57:28.002-05:00,-31.81,-23.01,-6.97
2019-07-26T16:20:53.304-05:00,-32.43,-23.77,-7.13
2019-07-26T18:43:36.048-05:00,-33.08,-24.32,-6.99
2019-07-26T20:44:07.698-05:00,-33.21,-24.24,-6.77
2019-07-27T00:44:57.710-05:00,-33.28,-24.04,-6.39
2019-07-27T02:45:28.511-05:00,-33.34,-23.75,-6.28
2019-07-27T04:45:54.265-05:00,-33.44,-23.58,-6.25
2019-07-27T06:46:18.781-05:00,-33.82,-23.58,-6.52
2019-07-27T08:46:50.526-05:00,-34.41,-23.74,-6.75
2019-07-27T10:47:17.462-05:00,-35.84,-24.69,-7.7
2019-07-27T12:01:15.176-05:00,-37.42,-26.19,-8.51
2019-07-27T12:01:15.632-05:00,-37.42,-26.19,-8.51
2019-07-27T12:01:15.639-05:00,-37.48,-26.23,-8.54
2019-07-27T12:01:15.642-05:00,-37.48,-26.23,-8.72
2019-07-27T12:01:15.933-05:00,-37.48,-26.32,-8.72
